name,author,press,year,price,score,num,quote
"历史深处的忧虑

                
                   : 近距离看美国之一",林达, 生活·读书·新知三联书店 , 1997, 19.00,9.0,35435,窥见美国社会的一扇窗
无人生还,[英] 阿加莎・克里斯蒂, 人民文学出版社 , 2008, 19.00,8.9,93176,童谣杀人案
"文学回忆录（全2册）

                
                   : 1989—1994",木心 口述, 广西师范大学出版社 , 2013, 98.00,9.1,32282,木心留给世界的礼物
神雕侠侣,金庸, 生活·读书·新知三联书店 , 1994, 76.80,8.9,77320,至情至性，情大于武
"上帝掷骰子吗

                
                   : 量子物理史话",曹天元, 辽宁教育出版社 , 2006, 32.00,9.2,20730,量子物理史话
史记（全十册）,司马迁, 中华书局 , 1982, 125.00,9.5,15848,史家之绝唱，无韵之离骚
悲惨世界（上中下）,[法] 雨果, 人民文学出版社 , 1992, 66.00,9.0,47376,现实主义与浪漫主义的至高杰作
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich), 广西美术出版社 , 2008, 280.00,9.6,13672,从最早的洞窟绘画到当今的实验艺术
许三观卖血记,余华, 南海出版公司 , 1998, 16.80,8.8,183120,以博大的温情描绘磨难中的人生
哭泣的骆驼,三毛, 哈尔滨出版社 , 2003, 15.80,8.9,43113,沙漠中寻常的生与死
"白鹿原

                
                   : 20周年精装典藏版",陈忠实, 人民文学出版社 , 2012, 39.00,9.2,37508,一轴关于我们民族灵魂的现实主义画卷
看见,柴静, 广西师范大学出版社 , 2013, 39.80,8.8,266166,在这里看见中国
浪潮之巅,吴军, 电子工业出版社 , 2011, 55.00,9.0,25450,了解IT领域的入门读物
灿烂千阳,[美] 卡勒德·胡赛尼, 上海人民出版社 , 2007, 28.00,8.8,88198,唯有希望与爱可以驱散阴霾
卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基, 上海译文出版社 , 2006, 25.00,9.4,13670,错综复杂的社会、家庭矛盾和人性悲剧
树上的男爵,[意大利]伊塔洛·卡尔维诺, 译林出版社 , 2012, 30.00,9.1,20924,是不是真的只有先与人疏离，才能最终与他们在一起？
邓小平时代,[美] 傅高义, 生活·读书·新知三联书店 , 2013, 88.00,9.1,25811,个人命运背后的历史变局
人间词话,王国维, 上海古籍出版社 , 1998, 9.80,9.0,37575,以新眼光评旧文学
台北人,白先勇, 广西师范大学出版社 , 2010, 38.00,8.9,32231,白先勇短篇小说集
窗边的小豆豆,[日] 黑柳彻子 著, 南海出版公司 , 2003, 20.00,8.7,151035,真正懂孩子的教育经
爱你就像爱生命,王小波, 上海锦绣文章出版社 , 2008, 18.00,8.8,80360,王小波与李银河的两地书
"永恒的终结

                
                   : 关于时间旅行的终极奥秘和恢宏构想",[美] 艾萨克·阿西莫夫, 江苏凤凰文艺出版社 , 2014, 32.00,9.0,22179,关于时间旅行的终极奥秘和恢宏构想
西游记（全二册）,吴承恩, 人民文学出版社 , 2004, 47.20,8.9,55034,神魔皆有人情，精魅亦通世故
我们仨,杨绛, 生活·读书·新知三联书店 , 2003, 18.80,8.7,228597,家庭生活回忆录
诗经,孔丘 编订, 北京出版社 , 2006, 19.90,9.4,15570,思无邪
"巨人的陨落

                
                   : 世纪三部曲",[英] 肯·福莱特, 江苏凤凰文艺出版社 , 2016, 129.80,8.9,63969,五个家族，一场战争
悉达多,[德] 赫尔曼·黑塞, 上海人民出版社 , 2009, 20.00,9.0,23333,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……
这些人，那些事,吴念真, 译林出版社 , 2011, 28.00,8.8,54870,平淡叙述下的惊心动魄
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼, 四川文艺出版社 , 2015, 35.00,9.0,31609,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
教父,[美]马里奥·普佐, 译林出版社 , 1997, 23.30,9.0,30173,“教父三部曲”电影原著
道德经精义,黄元吉, 陕西人民出版社 , 1996, 4.50,9.4,12336,中国历史上首部完整的哲学著作
看不见的城市,[意大利]伊塔洛·卡尔维诺, 译林出版社 , 2006, 16.00,8.8,33271,每一座城市都只在想象中耸立，又在描述中坍圮
海子的诗,海子, 人民文学出版社 , 1999, 15.40,8.9,31642,无
"呼兰河传

                
                   : 1947年版本・原版珍藏",萧红, 百花文艺出版社 , 2005, 19.00,8.9,51079,萧红的童年往事
飞鸟集,[印] 罗宾德拉纳德·泰戈尔, 哈尔滨出版社 , 2004, 16.80,8.9,48350,一个淡泊清透的世界
"最好的告别

                
                   : 关于衰老与死亡，你必须知道的常识",[美] 阿图·葛文德（Atul Gawande）, 浙江人民出版社 , 2015,54.90,9.0,22710,关于衰老与死亡，你必须知道的常识
鹿鼎记（全五册）,金庸, 广州出版社 花城出版社 , 2008, 108.00,8.8,43828,武侠的解构，流氓的狂欢
梦里花落知多少,三毛, 北京十月文艺出版社 , 2007, 28.00,8.8,72591,哀而不伤
唐诗三百首,蘅塘退士, 1998-1-1 , 0.65,0,9.3,12746,熟读唐诗三百首，不会吟诗也会吟
人生的枷锁,[英] 毛姆, 上海译文出版社 , 2007, 32.00,9.0,18748,在混沌纷扰的生活漩流中，寻求人生的真谛
朝花夕拾,鲁迅, 人民文学出版社 , 1972年4月 , 0.25,8.8,79620,在纷扰中寻出一点闲静
斯通纳,[美] 约翰·威廉斯, 上海人民出版社 , 2016, 39.00,8.8,31084,即使不能拥有完美的生活，所幸追求过完整的自我
边城,沈从文, 北岳文艺出版社 , 2002, 12.00,8.7,171715,一切充满了善，然而到处是不凑巧
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗, 南海出版公司 , 2019, 59.00,8.9,39460,我来自一个极少有人能想象的家庭，教育给了我新世界
"时间简史

                
                   : 插图本",[英] 史蒂芬·霍金, 湖南科学技术出版社 , 2010, 45.00,8.8,44565,探索时间和空间的核心秘密
罗杰疑案,[英] 阿加莎·克里斯蒂, 人民文学出版社 , 2006, 21.00,8.9,26065,阿加莎·克里斯蒂代表作
金色梦乡,[日] 伊坂幸太郎, 译林出版社 , 2010, 35.00,9.0,17842,伊坂幸太郎代表作
王尔德童话,[英] 王尔德, 译林出版社 , 2003, 6.00,9.1,14747,一颗纯美纯善、永难泯灭的童心
陆犯焉识,严歌苓, 作家出版社 , 2011, 35.00,8.8,41993,翻手为苍凉，覆手为繁华
一个陌生女人的来信,[奥] 斯台芬·茨威格, 上海译文出版社 , 2007, 20.00,8.7,102023,暗恋的极致
冬牧场,李娟, 新星出版社 , 2012, 29.80,9.0,16530,阿勒泰的精灵
"叫魂

                
                   : 1768年中国妖术大恐慌",[美] 孔飞力, 生活·读书·新知三联书店 上海三联书店 , 2012, 38.00,9.0,17814,1768年中国妖术大恐慌
